Map_ID,Size,NumWumpus,PitProb,Moving,Hybrid_Success,Hybrid_Score,Hybrid_Decision_Eff,Hybrid_Time_ms,Random_Success,Random_Score,Random_Decision_Eff,Random_Time_ms
234,10,1,0.05,True,1,1001,11,13.087511,0,-1080,126,2.161264
235,10,1,0.05,True,1,989,23,71.098328,0,0,1,0.032187
236,10,1,0.05,True,0,-1095,95,4230.710268,0,-17,15,0.215292
237,10,1,0.05,True,1,902,110,11355.246544,0,0,2,0.038385
238,10,1,0.05,True,1,884,128,8438.094139,0,-1072,111,1.423359
239,10,1,0.05,True,0,-1021,21,179.572105,0,-16,12,0.19598
240,10,1,0.05,True,1,986,26,304.575682,0,-1038,48,0.921249
241,10,1,0.05,True,1,925,87,7796.591759,0,-1001,1,0.030041
242,10,1,0.05,True,1,988,24,109.141827,0,-28,31,0.432968
243,10,1,0.05,True,0,-1032,32,463.510275,0,0,1,0.032187
244,10,1,0.05,True,0,-1040,40,1135.63633,0,-7,11,0.189066
245,10,1,0.05,True,1,884,128,12645.503283,0,0,1,0.024319
246,10,1,0.05,True,0,-1002,2,1.214266,0,-1,3,0.046492
247,10,1,0.05,True,1,853,159,22053.585768,0,-21,19,0.258446
248,10,1,0.05,True,1,894,118,7517.451525,0,-30,37,0.557184
249,10,1,0.05,True,0,-1026,26,259.997129,0,-1019,12,0.198603
250,10,1,0.05,True,1,809,203,33282.745361,0,-1033,35,0.487089
